Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
B. Kociubinski,Torque,"DMF, RDMF",24,300000,,13,407,0,0.02,Argentina,"Argentina, Italy",right,181,81,yes
Gabriel Rossetto,Cerro Largo,"CF, RWF",25,0,,8,407,0,1.11,Brazil,Brazil,left,173,66,yes
A. Mulet,Cerro,"LCMF, LDMF, RCMF",25,400000,2025-12-31,10,404,0,0.15,Argentina,Argentina,right,183,74,no
L. Wasilewsky,Liverpool,"RCMF, RDMF, DMF",22,0,2028-10-11,18,404,0,0.13,Uruguay,Uruguay,left,166,63,no
G. Silva,Progreso,"CF, AMF",21,0,,7,401,1,1.03,Uruguay,Uruguay,,0,0,no
E. Hernández,Boston River,GK,40,0,,4,394,0,0,Uruguay,Uruguay,right,184,80,no
G. Wagner,Wanderers,"LW, RCMF, AMF",23,150000,,9,388,0,0.84,Uruguay,"Uruguay, Germany",right,187,71,no
M. Roldán,Miramar Misiones,"CF, LW, LWF",20,0,2027-12-31,8,372,0,0.18,Argentina,Argentina,right,181,0,yes
A. Torterolo Del Arco,Defensor Sporting U19,"LW, CF, RWF",17,0,2025-12-31,9,371,0,0.22,Uruguay,Uruguay,unknown,173,65,no
B. Arady,Nacional U20,"LW, RAMF, LAMF",18,0,,13,369,2,1.63,Uruguay,Uruguay,,172,69,no
O. Falconis,Cerro,"LW, AMF, LAMF",25,300000,,12,364,0,0.12,Uruguay,Uruguay,left,170,68,no
B. Acosta,Plaza Colonia,"RW, RAMF",19,0,2026-12-31,8,359,0,0.81,Argentina,Argentina,right,0,0,yes
M. Martínez Doghram,Wanderers,"CF, LW",19,0,2027-09-01,10,353,0,0.59,,,right,171,63,no
S. Mülhetaler,Peñarol,"RW, RAMF, RB",19,0,,9,326,0,0.24,Uruguay,Uruguay,right,168,60,no
F. Dafonte,Rentistas,"DMF, RDMF",20,0,2025-12-31,5,325,0,0.04,Uruguay,Uruguay,right,187,0,yes
M. Escobar,River Plate,"LW, LAMF, LWF",19,0,,7,325,0,0.33,Uruguay,Uruguay,,0,0,no
P. Viudez,Racing,"CF, RW, LW",20,0,,7,323,0,0.15,Uruguay,Uruguay,right,169,60,no
A. Prado,Juventud,LCB,23,200000,2025-12-31,4,320,0,0.49,Uruguay,Uruguay,left,185,76,no
S. Milano,Liverpool,"RCB, LCB, CB",22,0,,4,315,1,0.11,Uruguay,Uruguay,right,183,0,no
J. Patiño,Nacional,LB,27,400000,2027-12-31,7,314,0,0.62,Colombia,Colombia,left,183,82,no
M. Alfonso,Unión San Felipe,"LCB, CF, CB",23,0,,5,307,0,0.36,Uruguay,Uruguay,left,188,79,no
S. Corbo,Miramar Misiones,"RB, RCMF, RW",23,0,,4,304,0,0.09,Uruguay,Uruguay,right,173,0,no
F. Triver,River Plate U20,"LCMF, LB",19,0,,7,304,0,0.02,Uruguay,Uruguay,right,0,0,no
J. Moreno Córdoba,Miramar Misiones,GK,25,0,,3,298,0,0,Colombia,Colombia,,194,84,no
G. Reyes,Plaza Colonia,GK,39,25000,,3,294,0,0,Uruguay,Uruguay,left,186,82,no
M. Saravia,Defensor Sporting,"RCB, CB",26,450000,2026-07-31,9,288,0,0.03,Peru,Peru,right,187,84,no
J. Varela,Racing,"RCMF, LCMF",37,50000,,5,287,0,0,Uruguay,Uruguay,right,178,77,no
N. Suárez,La Luz,GK,25,400000,2025-12-31,3,286,0,0,Uruguay,Uruguay,left,183,75,no
S. López,Miramar Misiones,"LWB, LCB, LB",20,0,,8,279,0,0.07,Uruguay,Uruguay,left,169,64,no
M. Cachi,Fénix,AMF,27,375000,,8,276,0,0.49,Argentina,Argentina,left,166,68,no
D. Asconeguy,Progreso,RB,39,25000,,10,272,0,0.04,Uruguay,Uruguay,right,177,75,no
S. Pachamé,Plaza Colonia,"RCMF, RDMF",24,0,,4,271,0,0.01,Argentina,"Argentina, Spain",both,175,71,no
F. Rodríguez,La Luz,CF,34,100000,,11,270,0,0.85,Uruguay,"Uruguay, Spain",left,185,75,no
K. Altez,Huachipato,"RAMF, LCMF, LW",20,0,,7,262,0,0.44,Uruguay,Uruguay,right,165,60,yes
M. Estol,River Plate U20,"RCMF, RDMF",30,200000,,4,262,0,0.84,Uruguay,Uruguay,right,179,73,no
E. Darias,Peñarol,"LCMF, RCMF, LDMF",27,1200000,2027-12-31,3,254,1,0.83,Uruguay,Uruguay,right,172,70,no
N. Schiappacasse,River Plate,"CF, LW, RAMF",26,250000,,7,254,0,0.26,Uruguay,"Uruguay, Italy",right,182,73,no
M. Píriz,Cerro Largo,"RB, RWB, RCB",24,0,,5,253,0,0,Uruguay,Uruguay,right,0,0,no
F. Techera,Cerro,CF,19,0,,8,252,1,0.58,Uruguay,Uruguay,right,180,67,no
R. Dudok,Defensor Sporting,"LW, LAMF, LB",18,0,2025-12-31,9,252,0,0.13,Uruguay,Uruguay,left,170,58,no
A. Romero,Boston River,"RCMF, LDMF, RDMF",22,375000,,4,250,0,0.12,Venezuela,Venezuela,right,184,71,no
M. Izaguirre,Juventud,"RCMF, RDMF",22,0,,4,244,1,0.25,Uruguay,Uruguay,right,174,65,no
N. Soria,Liverpool,"CF, RCMF",23,300000,,16,243,0,0.39,Uruguay,Uruguay,right,182,79,no
E. Siri,Miramar Misiones,"CB, RCB",23,100000,,6,241,0,0,Uruguay,Uruguay,right,182,78,no
A. Maidana,Plaza Colonia,"CF, RAMF",24,0,,6,238,0,0.14,Argentina,Argentina,right,0,0,no
G. Nahuel,Miramar Misiones,"RW, CF, RWF",20,0,,6,234,0,0.37,Uruguay,Uruguay,,0,0,no
N. Azambuja Vargas,Danubio U20,"CF, LAMF",17,0,,7,230,0,0.05,Uruguay,Uruguay,unknown,170,64,no
I. Pérez,Cerro Largo,"CF, AMF",19,0,2025-12-31,5,229,1,0.57,Uruguay,Uruguay,right,182,75,no
L. Sequeira,Cerro,"LW, RW, CF",21,0,,5,228,0,0.11,Uruguay,Uruguay,unknown,0,0,no
R. Hernandez,Progreso,CF,20,0,,8,228,0,0.09,Uruguay,Uruguay,right,190,0,no
B. Betancor,Cerro,CF,21,0,2025-12-31,4,227,0,0.26,Uruguay,Uruguay,right,188,0,yes
B. Hurtado,Antofagasta,"CF, RCMF, LW",26,325000,2025-12-31,7,226,1,0.38,Venezuela,Venezuela,left,184,73,no
N. Sosa,Racing,"CF, LW",29,375000,,3,220,0,1.2,Uruguay,Uruguay,right,176,70,no
J. Pérez Tica,Delfin,CF,22,0,2025-12-31,5,218,0,0.09,Argentina,Argentina,right,169,76,yes
F. Silveira,Torque,LB,21,0,,3,218,0,0,Uruguay,Uruguay,left,185,78,no
J. Gallard,Cerro Largo,"CF, RW, RWF",21,0,,5,216,0,0.2,Argentina,Argentina,right,175,71,no
J. Rodríguez,River Plate,"LCMF, DMF, RCMF",35,300000,,6,213,0,0.03,Argentina,Argentina,right,173,67,no
