Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
L. Zazpe,Wanderers,"LCB, CB",31,350000,,34,3272,1,1.66,Uruguay,Uruguay,left,184,70,no
M. Rea,Liverpool,RCB,28,700000,,34,3262,1,0.84,Uruguay,Uruguay,right,184,79,no
F. Barrandeguy,Juventud,RB,29,325000,,35,3213,1,0.33,Uruguay,Uruguay,right,176,69,no
B. Antúnez,Boston River,GK,22,0,2026-12-31,33,3210,0,0,Uruguay,Uruguay,,0,0,no
A. Hernández,Liverpool,CF,35,450000,,37,3206,25,19.03,Uruguay,Uruguay,left,185,70,no
Ó. Olivera,Miramar Misiones,"RCB, RB",26,0,2025-12-31,33,3173,1,1.46,Uruguay,Uruguay,,0,0,no
G. Cotugno,Racing,"RCB, RWB, RB",30,800000,2025-12-31,33,3157,3,2.27,Uruguay,"Uruguay, Italy",right,177,75,no
M. Rabuñal,Liverpool,DMF,31,300000,,34,3145,2,2.12,Uruguay,Uruguay,right,183,72,no
N. Vallejo,Liverpool,"LW, LWF, LAMF",21,0,2026-12-31,36,3102,4,5.65,Argentina,Argentina,right,170,69,yes
K. Amaro,Liverpool,"RW, RB, RWF",21,0,2028-10-29,34,3083,1,2.25,Uruguay,Uruguay,right,177,72,no
N. Olivera,Progreso,LCB,32,200000,,31,3069,2,1.87,Uruguay,Uruguay,left,193,95,no
L. Mejía,Nacional,GK,34,400000,2026-12-31,31,3059,0,0,Panama,"Panama, Uruguay",left,193,81,no
F. Bonifazi,Cerro Largo,LB,30,200000,,34,3059,1,1.82,Uruguay,"Uruguay, Italy",left,174,68,no
J. Álvarez,Defensor Sporting,"LB, LW, LAMF",30,450000,2025-12-31,34,3058,2,1.97,Uruguay,Uruguay,left,173,65,no
A. Assis,Cerro Largo,"RCMF, LCMF",32,300000,,32,3028,1,1.49,Uruguay,Uruguay,right,171,75,no
S. Lentinelly,Liverpool,GK,28,0,2025-12-31,30,2953,0,0,Uruguay,"Uruguay, Italy",right,183,82,no
M. Silvera,Peñarol,CF,28,1500000,,35,2922,11,13.96,Uruguay,Uruguay,right,176,68,no
C. Oliva,Nacional,"LCMF, RCMF, LDMF",29,0,2026-12-31,33,2885,2,1.85,Uruguay,Uruguay,right,178,77,no
F. Silvera,Torque,LB,28,300000,2026-12-31,35,2879,2,1.3,Uruguay,Uruguay,left,173,73,no
