Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Salem Al Hajri,Al Wakrah,Al Wakrah,RCB,29,125000,1,93,6.77,42.86,right,183,4.84,1.94,100,2.9,33.33,0,0,2.9,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,16.45,0,0,24.19,88,10.65,81.82,90.48,3.87,75,0,0,0,0,0,0,0.97,0,0.97,0,0.97,0,0,0,2.9,66.67,0,0,0,0,0,0
Yousef Ali Al-Alawi,Al Rayyan,Al Rayyan,RB,21,0,1,84,10.71,50,,0,5.36,7.5,42.86,0,0,0,0,2.14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,50,0,1.07,0,24.64,1.07,1.07,35.36,78.79,22.5,76.19,82.76,4.29,50,0,0,0,0,0,0,4.29,75,0,0,0,0,0,0,11.79,63.64,0,0,0,0,0,0
Mohamed Al Manai,Al Shamal,Al Shamal,"CF, LCMF",23,0,1,82,23.05,28.57,right,0,6.59,10.98,40,5.49,0,1.1,0,1.1,1.5,3.29,0,0,0,0.02,0,1.1,0,0,0,0,0,0,0,5.49,20,1.1,1.1,0,9.88,2.2,1.1,8.78,87.5,1.1,100,87.5,0,0,0,0,0,0,0,0,1.1,100,0,0,0,0,0,0,2.2,100,0,0,0,0,0,0
Mohammed Emad Aiash,Al Wakrah,Al Wakrah,"RB, RCB",24,300000,3,80,14.63,76.92,right,187,9,7.87,85.71,3.38,100,0,0,2.25,5.45,2.25,0,0,0,0,0,0,0,0,0,1.13,0,0,0,1.13,0,0,0,0,12.38,0,0,21.38,78.95,7.87,71.43,83.33,0,0,0,0,0,0,0,0,2.25,50,1.13,0,0,0,0,0,3.38,66.67,0,0,0,0,0,0
Ahmad Al Sebai,Al Sailiya,Al Sailiya,"CF, LCMF, LW",26,0,3,77,12.86,63.64,right,170,4.68,3.51,100,1.17,0,0,0,1.17,1.76,0,2.34,0,0,0,0,0,0,0,0,3.51,33.33,2.34,50,5.84,60,0,0,0,14.03,2.34,2.34,19.87,64.71,5.84,60,71.43,1.17,100,0.02,2.34,0,0,0,0,2.34,50,2.34,0,0,0,0,0,1.17,100,0,0,0,2.34,0,0
N. Mason,,Qatar SC,RB,28,0,1,76,16.58,35.71,right,180,5.92,5.92,40,5.92,60,0,0,3.55,4.74,1.18,3.55,1.18,1.18,0.56,0,2.37,100,50,0,3.55,33.33,1.18,0,3.55,0,3.55,1.18,0,16.58,0,0,27.24,60.87,16.58,50,78.57,7.11,33.33,0.34,1.18,0,0,0,1.18,5.92,60,3.55,66.67,0,0,1.18,1.18,9.47,75,0,0,0,0,0,0
D. Soliman,Al Shahaniya,Al Shahaniya,LB,21,0,1,74,18.24,66.67,left,0,9.73,8.51,71.43,1.22,100,1.22,1.22,2.43,3.16,2.43,1.22,0,0,0,0,0,0,0,0,2.43,50,0,0,7.3,66.67,0,1.22,0,23.11,0,1.22,35.27,65.52,20.68,58.82,66.67,7.3,66.67,0,1.22,0,0,0,0,10.95,55.56,2.43,50,0,0,0,1.22,10.95,55.56,0,0,0,0,0,0
Mahmoud Wadi,Umm Salal,Umm Salal,CF,30,200000,3,68,15.88,8.33,right,188,1.32,1.32,0,3.97,0,0,0,1.32,2.14,2.65,0,0,0,0,0,0,0,0,0,0,0,1.32,0,6.62,20,1.32,0,0,5.29,1.32,1.32,9.26,85.71,0,0,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yousuf Muftah,Al Arabi,Al Arabi,LCB,37,50000,2,67,5.37,50,right,165,4.03,1.34,0,1.34,100,0,0,4.03,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,100,0,0,0,32.24,0,1.34,37.61,92.86,10.75,87.5,96,4.03,66.67,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,4.03,66.67,0,0,0,0,0,0
Rabeh Boussafi,Al Gharafa,Al Gharafa,"RWF, RCMF, RW",25,250000,5,67,22.84,47.06,left,174,4.03,4.03,66.67,2.69,50,0,0,1.34,3,0,8.06,0,0,0.05,0,1.34,100,0,0,9.4,0,12.09,55.56,12.09,55.56,4.03,6.72,0,32.24,4.03,0,41.64,67.74,1.34,100,90.91,2.69,50,0,1.34,0,0,0,0,2.69,100,8.06,0,0,0,0,0,2.69,100,0,0,0,1.34,0,0
